escala,1,noun,common,feminine,plural,n/a,n/a
escama,2,noun,common,feminine,plural,n/a,n/a
escuela,3,noun,common,feminine,plural,n/a,n/a
especificación,1,noun,common,feminine,plural,n/a,n/a
espera,1,noun,common,feminine,plural,n/a,n/a
esperanza,1,noun,common,feminine,plural,n/a,n/a
esquina,1,noun,common,feminine,plural,n/a,n/a
estadística,1,noun,common,feminine,plural,n/a,n/a
estrategia,1,noun,common,feminine,plural,n/a,n/a
estructura,2,noun,common,feminine,plural,n/a,n/a
etapa,1,noun,common,feminine,plural,n/a,n/a
etiqueta,4,noun,common,feminine,plural,n/a,n/a
evaluación,1,noun,common,feminine,plural,n/a,n/a
excrecencia,1,noun,common,feminine,plural,n/a,n/a
exigencia,2,noun,common,feminine,plural,n/a,n/a
experiencia,3,noun,common,feminine,plural,n/a,n/a
exploración,1,noun,common,feminine,plural,n/a,n/a
exposición,1,noun,common,feminine,plural,n/a,n/a
expresión,4,noun,common,feminine,plural,n/a,n/a
factura,1,noun,common,feminine,plural,n/a,n/a
facultad,4,noun,common,feminine,plural,n/a,n/a
falta,2,noun,common,feminine,plural,n/a,n/a
familia,5,noun,common,feminine,plural,n/a,n/a
fase,1,noun,common,feminine,plural,n/a,n/a
fecha,4,noun,common,feminine,plural,n/a,n/a
ficha,5,noun,common,feminine,plural,n/a,n/a
firma,3,noun,common,feminine,plural,n/a,n/a
flecha,1,noun,common,feminine,plural,n/a,n/a
forma,13,noun,common,feminine,plural,n/a,n/a
foto,11,noun,common,feminine,plural,n/a,n/a
fotocopia,1,noun,common,feminine,plural,n/a,n/a
frase,3,noun,common,feminine,plural,n/a,n/a
frontera,1,noun,common,feminine,plural,n/a,n/a
fuente,3,noun,common,feminine,plural,n/a,n/a
fuerza,4,noun,common,feminine,plural,n/a,n/a
función,6,noun,common,feminine,plural,n/a,n/a
fundación,1,noun,common,feminine,plural,n/a,n/a
fábrica,4,noun,common,feminine,plural,n/a,n/a
fórmula,1,noun,common,feminine,plural,n/a,n/a
galleta,4,noun,common,feminine,plural,n/a,n/a
gallina,2,noun,common,feminine,plural,n/a,n/a
gamba,15,noun,common,feminine,plural,n/a,n/a
gana,8,noun,common,feminine,plural,n/a,n/a
garra,1,noun,common,feminine,plural,n/a,n/a
generación,3,noun,common,feminine,plural,n/a,n/a
gente,1,noun,common,feminine,plural,n/a,n/a
gitano,2,noun,common,feminine,plural,n/a,n/a
grabación,1,noun,common,feminine,plural,n/a,n/a
gracia,36,noun,common,feminine,plural,n/a,n/a
guarro,1,noun,common,feminine,plural,n/a,n/a
guerra,3,noun,common,feminine,plural,n/a,n/a
guitarra,7,noun,common,feminine,plural,n/a,n/a
habitación,4,noun,common,feminine,plural,n/a,n/a
habla,4,noun,common,feminine,plural,n/a,n/a
hacha,1,noun,common,feminine,plural,n/a,n/a
hacértelas,1,noun,common,feminine,plural,n/a,n/a
hamburguesa,2,noun,common,feminine,plural,n/a,n/a
hechura,1,noun,common,feminine,plural,n/a,n/a
hectárea,1,noun,common,feminine,plural,n/a,n/a
hemorroide,1,noun,common,feminine,plural,n/a,n/a
hermano,5,noun,common,feminine,plural,n/a,n/a
herramienta,14,noun,common,feminine,plural,n/a,n/a
hierba,2,noun,common,feminine,plural,n/a,n/a
hijo,4,noun,common,feminine,plural,n/a,n/a
historia,3,noun,common,feminine,plural,n/a,n/a
hoja,6,noun,common,feminine,plural,n/a,n/a
hora,16,noun,common,feminine,plural,n/a,n/a
huelga,1,noun,common,feminine,plural,n/a,n/a
humedad,3,noun,common,feminine,plural,n/a,n/a
hélice,1,noun,common,feminine,plural,n/a,n/a
idea,4,noun,common,feminine,plural,n/a,n/a
iglesia,2,noun,common,feminine,plural,n/a,n/a
ilustración,2,noun,common,feminine,plural,n/a,n/a
imagen,4,noun,common,feminine,plural,n/a,n/a
imperdible,1,noun,common,feminine,plural,n/a,n/a
implantación,2,noun,common,feminine,plural,n/a,n/a
incógnita,1,noun,common,feminine,plural,n/a,n/a
infancia,2,noun,common,feminine,plural,n/a,n/a
infante,1,noun,common,feminine,plural,n/a,n/a
infraestructura,1,noun,common,feminine,plural,n/a,n/a
iniciativa,1,noun,common,feminine,plural,n/a,n/a
institución,3,noun,common,feminine,plural,n/a,n/a
integral,2,noun,common,feminine,plural,n/a,n/a
intimidad,3,noun,common,feminine,plural,n/a,n/a
invasión,1,noun,common,feminine,plural,n/a,n/a
